bvets motor noise table 1.00,,,,,,
#,0,1,2,3,4,5,6,7,8,
0.2,1,,,,0,,,0,0,
5,,,0.29,,,,,,,
15,,,,,,,,,,
16,,0.75,,,,,,,,
17,,0.84,,,,,,,,
18,,,0.77,,,,,,,
18.4,,0.94,,,,,,,,
21,,0.91,,,,,,,,
23.8,,0.89,,,,,,,,
26,,,1.07,,,0.42,,,,
28.4,,0.87,1.16,,,,,,,
30,,,1.21,,,,0.8,,,
33.6,,0.84,,0.84,,,,,,
35,,0.83,,,,,0.87,,,
36.4,,,,,,,0.89,,,
37,,,,,,,,,,
40,,,,,,,,,,
43,,,,,,,,,,
45,,,,,,,1,,,
46.4,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
55,,,,,,,,,,
60,,,,,,,,,,
65,,,,,,,,,,
70,,,,1.54,,,,,,
75,,,,,,,1,,,
80,,,,,,,,,,
90,,,,,,,1,,,
120,,,,,,1.22,,,,
