bvets motor noise table 1.00,,,,,,,,,
#,0,1,2,3,4,5,6,7,8
0.2,0,,,,0,,,,
5,0.1,,,,0.3,,,,
7.6,0.4,,,,0.5,,,,
10,0.8,,,,0.4,,,,
12.6,0.9,,,,0.1,,,,
15,1,,,,0,,,,
21.8,,,,,,,0,,0
23.6,,,,,,,,,0.3
24.6,,,,,,,0.3,,
26.6,,,,,,,0.4,,0.4
29,,,,,,,0.3,,0.3
29.8,1,,0,,,,,,
30,,,,,,,,0,
30.8,,,0.9,,,,0,,0
31,0,0,,,,,,,
31.6,,,,,,,,0.8,
33.2,,0.3,0.7,,,,,,
35,,0.9,0.5,0,,,,,
40,,1,0,,,0,,0.8,
41.6,,1,,,,0.4,,0.5,
45,,0.6,,0.5,,0.5,,,
46.6,,,,,,0.8,,,
50,,0,,,,1,,0,
55,,,,,,0.5,,,
60,,,,0.8,,0,,,
80,,,,1,,,,,
