bvets motor noise table 1.00,,,,,,,,,
#,0,1,2,3,4,5,6,7,8
0.2,0.58,,,,0.94,,0,,
5,0.67,,,,1.06,,,,
7.6,0.72,,,,1.11,,,,
10,0.77,,,,1.23,,,,
12.6,0.89,,,,1.42,,,,
15,1,,,,1.62,,,,
21.8,,,,,,,,,1.04
23.6,,,,,,,,,
26.6,,,,,,,,,
29,,,,,,,,,
29.8,,,0.97,,,,,,
30,,,,,,,,0.65,
30.8,,,,,,,,,2.15
31,1,0.77,,,,,,,
31.6,,,,,,,,,
33.2,,,,,,,,,
35,,,,0.49,,,,,
40,,,1.36,,,0.78,,,
41.6,,,,,,,,,
45,,,,,,,,,
46.6,,,,,,,,,
50,,1.33,,,,,,1.13,
55,,,,,,,,,
60,,,,,,1.11,,,
80,,,,1.11,,,,,
